Length,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
45,-0.3521,2.441,0.09182,1.71,1.877,2.043,2.23,2.441,2.68,2.951,3.261,3.571
45.1,-0.3521,2.4577,0.09176,1.722,1.89,2.057,2.245,2.458,2.698,2.971,3.283,3.595
45.2,-0.3521,2.4744,0.0917,1.734,1.903,2.072,2.261,2.474,2.716,2.991,3.305,3.618
45.3,-0.3521,2.4911,0.09164,1.747,1.916,2.086,2.276,2.491,2.734,3.011,3.326,3.642
45.4,-0.3521,2.5078,0.09159,1.759,1.929,2.1,2.292,2.508,2.752,3.031,3.348,3.666
45.5,-0.3521,2.5244,0.09153,1.771,1.942,2.114,2.307,2.524,2.771,3.05,3.37,3.689
45.6,-0.3521,2.5411,0.09147,1.783,1.956,2.128,2.322,2.541,2.789,3.07,3.391,3.712
45.7,-0.3521,2.5578,0.09141,1.795,1.969,2.142,2.338,2.558,2.807,3.09,3.413,3.736
45.8,-0.3521,2.5744,0.09135,1.807,1.982,2.157,2.353,2.574,2.825,3.109,3.434,3.759
45.9,-0.3521,2.5911,0.09129,1.819,1.995,2.171,2.368,2.591,2.843,3.129,3.456,3.782
46,-0.3521,2.6077,0.09124,1.831,2.008,2.185,2.384,2.608,2.861,3.149,3.477,3.806
46.1,-0.3521,2.6244,0.09118,1.843,2.021,2.199,2.399,2.624,2.879,3.169,3.499,3.829
46.2,-0.3521,2.6411,0.09112,1.855,2.034,2.213,2.415,2.641,2.897,3.188,3.521,3.853
46.3,-0.3521,2.6578,0.09106,1.867,2.048,2.228,2.43,2.658,2.916,3.208,3.542,3.876
46.4,-0.3521,2.6745,0.091,1.88,2.061,2.242,2.445,2.674,2.934,3.228,3.564,3.899
46.5,-0.3521,2.6913,0.09094,1.892,2.074,2.256,2.461,2.691,2.952,3.248,3.585,3.923
46.6,-0.3521,2.7081,0.09088,1.904,2.087,2.271,2.476,2.708,2.97,3.268,3.607,3.946
46.7,-0.3521,2.7249,0.09083,1.916,2.101,2.285,2.492,2.725,2.988,3.288,3.629,3.97
46.8,-0.3521,2.7417,0.09077,1.929,2.114,2.299,2.507,2.742,3.007,3.307,3.65,3.993
46.9,-0.3521,2.7586,0.09071,1.941,2.127,2.314,2.523,2.759,3.025,3.327,3.672,4.017
47,-0.3521,2.7755,0.09065,1.953,2.141,2.328,2.539,2.776,3.043,3.347,3.694,4.041
47.1,-0.3521,2.7925,0.09059,1.966,2.154,2.343,2.554,2.792,3.062,3.367,3.716,4.064
47.2,-0.3521,2.8095,0.09053,1.978,2.168,2.357,2.57,2.81,3.08,3.388,3.738,4.088
47.3,-0.3521,2.8266,0.09047,1.991,2.181,2.372,2.586,2.827,3.099,3.408,3.76,4.112
47.4,-0.3521,2.8437,0.09042,2.003,2.195,2.386,2.602,2.844,3.117,3.428,3.782,4.136
47.5,-0.3521,2.8609,0.09036,2.015,2.208,2.401,2.617,2.861,3.136,3.448,3.804,4.16
47.6,-0.3521,2.8782,0.0903,2.028,2.222,2.416,2.633,2.878,3.155,3.469,3.826,4.184
47.7,-0.3521,2.8955,0.09024,2.041,2.236,2.431,2.649,2.896,3.174,3.489,3.848,4.208
47.8,-0.3521,2.9129,0.09018,2.054,2.25,2.446,2.665,2.913,3.192,3.51,3.871,4.232
47.9,-0.3521,2.9304,0.09012,2.066,2.263,2.461,2.682,2.93,3.211,3.53,3.893,4.256
48,-0.3521,2.948,0.09007,2.079,2.277,2.476,2.698,2.948,3.231,3.551,3.916,4.281
48.1,-0.3521,2.9657,0.09001,2.092,2.291,2.491,2.714,2.966,3.25,3.572,3.939,4.306
48.2,-0.3521,2.9835,0.08995,2.105,2.306,2.506,2.731,2.984,3.269,3.593,3.962,4.33
48.3,-0.3521,3.0014,0.08989,2.118,2.32,2.521,2.747,3.001,3.288,3.614,3.985,4.355
48.4,-0.3521,3.0195,0.08983,2.131,2.334,2.537,2.764,3.02,3.308,3.635,4.008,4.38
48.5,-0.3521,3.0377,0.08977,2.145,2.349,2.552,2.781,3.038,3.328,3.657,4.031,4.406
48.6,-0.3521,3.056,0.08972,2.158,2.363,2.568,2.798,3.056,3.348,3.678,4.055,4.431
48.7,-0.3521,3.0745,0.08966,2.172,2.378,2.584,2.815,3.074,3.368,3.7,4.078,4.457
48.8,-0.3521,3.0931,0.0896,2.185,2.393,2.6,2.832,3.093,3.388,3.722,4.102,4.483
48.9,-0.3521,3.1119,0.08954,2.199,2.407,2.616,2.849,3.112,3.408,3.744,4.126,4.509
49,-0.3521,3.1308,0.08948,2.213,2.422,2.632,2.867,3.131,3.429,3.766,4.151,4.535
49.1,-0.3521,3.1499,0.08943,2.227,2.438,2.648,2.884,3.15,3.45,3.789,4.175,4.562
49.2,-0.3521,3.1691,0.08937,2.241,2.453,2.665,2.902,3.169,3.47,3.812,4.2,4.588
49.3,-0.3521,3.1884,0.08931,2.255,2.468,2.681,2.92,3.188,3.491,3.834,4.225,4.615
49.4,-0.3521,3.2079,0.08925,2.269,2.484,2.698,2.938,3.208,3.512,3.857,4.25,4.642
49.5,-0.3521,3.2276,0.08919,2.284,2.499,2.715,2.956,3.228,3.534,3.881,4.275,4.669
49.6,-0.3521,3.2473,0.08913,2.298,2.515,2.732,2.974,3.247,3.555,3.904,4.3,4.697
49.7,-0.3521,3.2672,0.08908,2.313,2.531,2.749,2.993,3.267,3.577,3.927,4.326,4.724
49.8,-0.3521,3.2873,0.08902,2.328,2.547,2.766,3.011,3.287,3.598,3.951,4.352,4.752
49.9,-0.3521,3.3075,0.08896,2.342,2.563,2.783,3.03,3.308,3.62,3.975,4.377,4.78
50,-0.3521,3.3278,0.0889,2.357,2.579,2.801,3.049,3.328,3.642,3.999,4.403,4.808
50.1,-0.3521,3.3482,0.08884,2.372,2.595,2.818,3.068,3.348,3.664,4.023,4.43,4.837
50.2,-0.3521,3.3688,0.08878,2.387,2.612,2.836,3.087,3.369,3.687,4.047,4.456,4.865
50.3,-0.3521,3.3894,0.08872,2.403,2.628,2.853,3.106,3.389,3.709,4.071,4.482,4.894
50.4,-0.3521,3.4102,0.08867,2.418,2.645,2.871,3.125,3.41,3.732,4.096,4.509,4.922
50.5,-0.3521,3.4311,0.08861,2.433,2.661,2.889,3.144,3.431,3.754,4.12,4.536,4.951
50.6,-0.3521,3.4522,0.08855,2.449,2.678,2.907,3.164,3.452,3.777,4.145,4.563,4.981
50.7,-0.3521,3.4733,0.08849,2.464,2.695,2.925,3.183,3.473,3.8,4.17,4.59,5.01
50.8,-0.3521,3.4946,0.08843,2.48,2.712,2.944,3.203,3.495,3.823,4.195,4.617,5.039
50.9,-0.3521,3.5161,0.08837,2.496,2.729,2.962,3.223,3.516,3.846,4.22,4.644,5.069
51,-0.3521,3.5376,0.08831,2.512,2.746,2.981,3.243,3.538,3.87,4.245,4.672,5.099
51.1,-0.3521,3.5593,0.08825,2.528,2.763,2.999,3.263,3.559,3.893,4.271,4.7,5.128
51.2,-0.3521,3.5812,0.08819,2.544,2.781,3.018,3.283,3.581,3.917,4.296,4.728,5.159
51.3,-0.3521,3.6032,0.08813,2.56,2.798,3.037,3.304,3.603,3.941,4.322,4.756,5.189
51.4,-0.3521,3.6254,0.08807,2.576,2.816,3.056,3.324,3.625,3.965,4.348,4.784,5.22
51.5,-0.3521,3.6477,0.08801,2.593,2.834,3.075,3.345,3.648,3.989,4.375,4.813,5.25
51.6,-0.3521,3.6702,0.08795,2.609,2.852,3.094,3.366,3.67,4.013,4.401,4.841,5.281
51.7,-0.3521,3.6929,0.08789,2.626,2.87,3.114,3.387,3.693,4.038,4.428,4.87,5.313
51.8,-0.3521,3.7157,0.08783,2.643,2.888,3.133,3.408,3.716,4.062,4.454,4.899,5.344
51.9,-0.3521,3.7388,0.08777,2.66,2.907,3.153,3.429,3.739,4.087,4.482,4.929,5.376
52,-0.3521,3.762,0.08771,2.677,2.925,3.173,3.451,3.762,4.113,4.509,4.958,5.408
52.1,-0.3521,3.7855,0.08765,2.694,2.944,3.193,3.472,3.786,4.138,4.536,4.988,5.44
52.2,-0.3521,3.8092,0.08759,2.712,2.963,3.214,3.494,3.809,4.164,4.564,5.019,5.473
52.3,-0.3521,3.833,0.08753,2.729,2.982,3.234,3.516,3.833,4.189,4.592,5.049,5.506
52.4,-0.3521,3.8571,0.08747,2.747,3.001,3.255,3.539,3.857,4.215,4.62,5.08,5.539
52.5,-0.3521,3.8814,0.08741,2.765,3.02,3.276,3.561,3.881,4.242,4.649,5.111,5.572
52.6,-0.3521,3.9059,0.08735,2.783,3.04,3.297,3.584,3.906,4.268,4.678,5.142,5.606
52.7,-0.3521,3.9306,0.08729,2.801,3.06,3.318,3.607,3.931,4.295,4.707,5.173,5.64
52.8,-0.3521,3.9555,0.08723,2.82,3.08,3.339,3.63,3.956,4.322,4.736,5.205,5.674
52.9,-0.3521,3.9806,0.08717,2.838,3.1,3.361,3.653,3.981,4.349,4.765,5.237,5.709
53,-0.3521,4.006,0.08711,2.857,3.12,3.383,3.677,4.006,4.377,4.795,5.27,5.744
53.1,-0.3521,4.0315,0.08705,2.876,3.14,3.405,3.7,4.032,4.404,4.825,5.302,5.779
53.2,-0.3521,4.0572,0.08699,2.895,3.161,3.427,3.724,4.057,4.432,4.855,5.335,5.814
53.3,-0.3521,4.0831,0.08693,2.914,3.182,3.449,3.748,4.083,4.46,4.885,5.368,5.85
53.4,-0.3521,4.1092,0.08687,2.933,3.202,3.472,3.772,4.109,4.488,4.916,5.401,5.886
53.5,-0.3521,4.1354,0.08681,2.953,3.223,3.494,3.796,4.135,4.517,4.947,5.434,5.922
53.6,-0.3521,4.1619,0.08675,2.972,3.245,3.517,3.821,4.162,4.545,4.978,5.468,5.958
53.7,-0.3521,4.1885,0.08669,2.992,3.266,3.54,3.846,4.188,4.574,5.009,5.502,5.995
53.8,-0.3521,4.2153,0.08663,3.012,3.287,3.563,3.871,4.215,4.603,5.04,5.536,6.032
53.9,-0.3521,4.2422,0.08657,3.032,3.309,3.586,3.895,4.242,4.632,5.072,5.57,6.069
54,-0.3521,4.2693,0.08651,3.052,3.33,3.609,3.921,4.269,4.661,5.104,5.605,6.106
54.1,-0.3521,4.2965,0.08645,3.072,3.352,3.633,3.946,4.296,4.691,5.136,5.639,6.143
54.2,-0.3521,4.3239,0.08639,3.092,3.374,3.656,3.971,4.324,4.72,5.168,5.674,6.181
54.3,-0.3521,4.3513,0.08633,3.112,3.396,3.68,3.997,4.351,4.75,5.2,5.709,6.218
54.4,-0.3521,4.3789,0.08627,3.133,3.418,3.704,4.022,4.379,4.78,5.232,5.744,6.256
54.5,-0.3521,4.4066,0.08621,3.153,3.44,3.727,4.048,4.407,4.81,5.264,5.779,6.294
54.6,-0.3521,4.4344,0.08615,3.174,3.463,3.751,4.074,4.434,4.84,5.297,5.815,6.332
54.7,-0.3521,4.4623,0.0861,3.195,3.485,3.775,4.099,4.462,4.87,5.33,5.85,6.371
54.8,-0.3521,4.4903,0.08604,3.215,3.507,3.799,4.125,4.49,4.9,5.363,5.886,6.409
54.9,-0.3521,4.5185,0.08598,3.236,3.53,3.824,4.152,4.518,4.931,5.396,5.922,6.448
55,-0.3521,4.5467,0.08592,3.257,3.553,3.848,4.178,4.547,4.961,5.428,5.957,6.486
55.1,-0.3521,4.575,0.08586,3.278,3.575,3.872,4.204,4.575,4.992,5.462,5.993,6.525
55.2,-0.3521,4.6034,0.0858,3.299,3.598,3.897,4.23,4.603,5.022,5.495,6.029,6.564
55.3,-0.3521,4.6319,0.08575,3.32,3.621,3.921,4.257,4.632,5.053,5.528,6.066,6.603
55.4,-0.3521,4.6605,0.08569,3.342,3.644,3.946,4.283,4.66,5.084,5.562,6.102,6.642
55.5,-0.3521,4.6892,0.08563,3.363,3.667,3.971,4.31,4.689,5.115,5.595,6.138,6.681
55.6,-0.3521,4.718,0.08558,3.384,3.69,3.996,4.337,4.718,5.146,5.629,6.175,6.721
55.7,-0.3521,4.7469,0.08552,3.406,3.713,4.02,4.363,4.747,5.178,5.663,6.211,6.76
55.8,-0.3521,4.7758,0.08546,3.427,3.736,4.045,4.39,4.776,5.209,5.696,6.248,6.8
55.9,-0.3521,4.8048,0.08541,3.449,3.76,4.07,4.417,4.805,5.24,5.73,6.285,6.839
56,-0.3521,4.8338,0.08535,3.47,3.783,4.095,4.444,4.834,5.271,5.764,6.322,6.879
56.1,-0.3521,4.8629,0.08529,3.492,3.806,4.121,4.471,4.863,5.303,5.798,6.358,6.919
56.2,-0.3521,4.892,0.08524,3.514,3.83,4.146,4.498,4.892,5.334,5.832,6.395,6.958
56.3,-0.3521,4.9212,0.08518,3.535,3.853,4.171,4.525,4.921,5.366,5.866,6.432,6.998
56.4,-0.3521,4.9504,0.08513,3.557,3.876,4.196,4.552,4.95,5.397,5.901,6.469,7.038
56.5,-0.3521,4.9796,0.08507,3.579,3.9,4.221,4.579,4.98,5.429,5.935,6.506,7.078
56.6,-0.3521,5.0088,0.08502,3.6,3.923,4.246,4.606,5.009,5.46,5.969,6.543,7.118
56.7,-0.3521,5.0381,0.08497,3.622,3.947,4.272,4.633,5.038,5.492,6.003,6.581,7.158
56.8,-0.3521,5.0673,0.08491,3.644,3.97,4.297,4.661,5.067,5.524,6.037,6.617,7.198
56.9,-0.3521,5.0966,0.08486,3.666,3.994,4.322,4.688,5.097,5.555,6.071,6.655,7.238
57,-0.3521,5.1259,0.08481,3.687,4.017,4.347,4.715,5.126,5.587,6.106,6.692,7.278
57.1,-0.3521,5.1551,0.08475,3.709,4.041,4.373,4.742,5.155,5.618,6.14,6.728,7.317
57.2,-0.3521,5.1844,0.0847,3.731,4.064,4.398,4.769,5.184,5.65,6.174,6.766,7.357
57.3,-0.3521,5.2137,0.08465,3.753,4.088,4.423,4.796,5.214,5.682,6.208,6.803,7.397
57.4,-0.3521,5.2429,0.0846,3.775,4.111,4.448,4.824,5.243,5.713,6.242,6.84,7.437
57.5,-0.3521,5.2721,0.08455,3.796,4.135,4.474,4.851,5.272,5.745,6.276,6.877,7.477
57.6,-0.3521,5.3014,0.08449,3.818,4.159,4.499,4.878,5.301,5.776,6.31,6.913,7.517
57.7,-0.3521,5.3306,0.08444,3.84,4.182,4.524,4.905,5.331,5.808,6.344,6.95,7.556
57.8,-0.3521,5.3598,0.08439,3.862,4.206,4.549,4.932,5.36,5.839,6.378,6.987,7.596
57.9,-0.3521,5.3889,0.08434,3.884,4.229,4.574,4.959,5.389,5.871,6.412,7.024,7.636
58,-0.3521,5.418,0.0843,3.905,4.252,4.599,4.986,5.418,5.902,6.447,7.061,7.676
58.1,-0.3521,5.4471,0.08425,3.927,4.276,4.625,5.013,5.447,5.933,6.48,7.098,7.715
58.2,-0.3521,5.4762,0.0842,3.949,4.299,4.65,5.04,5.476,5.965,6.514,7.135,7.755
58.3,-0.3521,5.5053,0.08415,3.97,4.323,4.675,5.067,5.505,5.996,6.548,7.171,7.794
58.4,-0.3521,5.5343,0.0841,3.992,4.346,4.7,5.094,5.534,6.028,6.582,7.208,7.834
58.5,-0.3521,5.5632,0.08406,4.013,4.369,4.725,5.121,5.563,6.059,6.616,7.245,7.873
58.6,-0.3521,5.5922,0.08401,4.035,4.393,4.75,5.148,5.592,6.09,6.65,7.281,7.913
58.7,-0.3521,5.621,0.08397,4.056,4.416,4.775,5.175,5.621,6.121,6.683,7.318,7.952
58.8,-0.3521,5.6499,0.08392,4.078,4.439,4.8,5.201,5.65,6.152,6.717,7.354,7.991
58.9,-0.3521,5.6787,0.08388,4.1,4.462,4.825,5.228,5.679,6.183,6.751,7.391,8.031
59,-0.3521,5.7074,0.08383,4.121,4.485,4.849,5.255,5.707,6.214,6.784,7.427,8.069
59.1,-0.3521,5.7361,0.08379,4.142,4.508,4.874,5.281,5.736,6.245,6.818,7.463,8.109
59.2,-0.3521,5.7647,0.08375,4.164,4.531,4.899,5.308,5.765,6.276,6.851,7.499,8.148
