Length (cm),L,M,S,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
45.0,-0.3521,2.4410,0.09182,1.9,2.0,2.2,2.4,2.7,3.0,3.3
45.5,-0.3521,2.5244,0.09153,1.9,2.1,2.3,2.5,2.8,3.1,3.4
46.0,-0.3521,2.6077,0.09124,2.0,2.2,2.4,2.6,2.9,3.1,3.5
46.5,-0.3521,2.6913,0.09094,2.1,2.3,2.5,2.7,3.0,3.2,3.6
47.0,-0.3521,2.7755,0.09065,2.1,2.3,2.5,2.8,3.0,3.3,3.7
47.5,-0.3521,2.8609,0.09036,2.2,2.4,2.6,2.9,3.1,3.4,3.8
48.0,-0.3521,2.9480,0.09007,2.3,2.5,2.7,2.9,3.2,3.6,3.9
48.5,-0.3521,3.0377,0.08977,2.3,2.6,2.8,3.0,3.3,3.7,4.0
49.0,-0.3521,3.1308,0.08948,2.4,2.6,2.9,3.1,3.4,3.8,4.2
49.5,-0.3521,3.2276,0.08919,2.5,2.7,3.0,3.2,3.5,3.9,4.3
50.0,-0.3521,3.3278,0.08890,2.6,2.8,3.0,3.3,3.6,4.0,4.4
50.5,-0.3521,3.4311,0.08861,2.7,2.9,3.1,3.4,3.8,4.1,4.5
51.0,-0.3521,3.5376,0.08831,2.7,3.0,3.2,3.5,3.9,4.2,4.7
51.5,-0.3521,3.6477,0.08801,2.8,3.1,3.3,3.6,4.0,4.4,4.8
52.0,-0.3521,3.7620,0.08771,2.9,3.2,3.5,3.8,4.1,4.5,5.0
52.5,-0.3521,3.8814,0.08741,3.0,3.3,3.6,3.9,4.2,4.6,5.1
53.0,-0.3521,4.0060,0.08711,3.1,3.4,3.7,4.0,4.4,4.8,5.3
53.5,-0.3521,4.1354,0.08681,3.2,3.5,3.8,4.1,4.5,4.9,5.4
54.0,-0.3521,4.2693,0.08651,3.3,3.6,3.9,4.3,4.7,5.1,5.6
54.5,-0.3521,4.4066,0.08621,3.4,3.7,4.0,4.4,4.8,5.3,5.8
55.0,-0.3521,4.5467,0.08592,3.6,3.8,4.2,4.5,5.0,5.4,6.0
55.5,-0.3521,4.6892,0.08563,3.7,4.0,4.3,4.7,5.1,5.6,6.1
56.0,-0.3521,4.8338,0.08535,3.8,4.1,4.4,4.8,5.3,5.8,6.3
56.5,-0.3521,4.9796,0.08507,3.9,4.2,4.6,5.0,5.4,5.9,6.5
