Height,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
65,-0.3833,7.2402,0.09113,5.095,5.583,6.071,6.62,7.24,7.944,8.746,9.664,10.583
65.1,-0.3833,7.2627,0.09112,5.111,5.6,6.09,6.64,7.263,7.969,8.773,9.694,10.615
65.2,-0.3833,7.2852,0.09111,5.127,5.618,6.109,6.661,7.285,7.993,8.8,9.724,10.648
65.3,-0.3833,7.3076,0.0911,5.143,5.635,6.128,6.682,7.308,8.018,8.827,9.753,10.68
65.4,-0.3833,7.33,0.09109,5.158,5.652,6.146,6.702,7.33,8.042,8.854,9.783,10.712
65.5,-0.3833,7.3523,0.09109,5.174,5.67,6.165,6.723,7.352,8.067,8.881,9.813,10.745
65.6,-0.3833,7.3745,0.09108,5.19,5.687,6.184,6.743,7.374,8.091,8.907,9.842,10.777
65.7,-0.3833,7.3967,0.09107,5.206,5.704,6.203,6.763,7.397,8.115,8.934,9.871,10.809
65.8,-0.3833,7.4189,0.09106,5.222,5.721,6.221,6.784,7.419,8.139,8.96,9.901,10.841
65.9,-0.3833,7.441,0.09105,5.237,5.739,6.24,6.804,7.441,8.164,8.987,9.93,10.873
66,-0.3833,7.463,0.09104,5.253,5.756,6.259,6.824,7.463,8.188,9.013,9.959,10.904
66.1,-0.3833,7.485,0.09103,5.269,5.773,6.277,6.844,7.485,8.212,9.04,9.988,10.936
66.2,-0.3833,7.5069,0.09102,5.284,5.79,6.296,6.864,7.507,8.236,9.066,10.017,10.967
66.3,-0.3833,7.5288,0.09101,5.3,5.807,6.314,6.885,7.529,8.26,9.092,10.046,10.999
66.4,-0.3833,7.5507,0.091,5.316,5.824,6.333,6.905,7.551,8.283,9.118,10.074,11.031
66.5,-0.3833,7.5724,0.09099,5.331,5.841,6.351,6.925,7.572,8.307,9.144,10.103,11.062
66.6,-0.3833,7.5942,0.09098,5.347,5.858,6.369,6.945,7.594,8.331,9.171,10.132,11.093
66.7,-0.3833,7.6158,0.09097,5.362,5.875,6.388,6.964,7.616,8.355,9.196,10.16,11.124
66.8,-0.3833,7.6375,0.09096,5.377,5.892,6.406,6.984,7.638,8.378,9.222,10.189,11.155
66.9,-0.3833,7.659,0.09095,5.393,5.908,6.424,7.004,7.659,8.402,9.248,10.217,11.186
67,-0.3833,7.6806,0.09094,5.408,5.925,6.442,7.024,7.681,8.425,9.274,10.246,11.217
67.1,-0.3833,7.702,0.09093,5.423,5.942,6.46,7.043,7.702,8.449,9.3,10.274,11.248
67.2,-0.3833,7.7234,0.09091,5.439,5.959,6.479,7.063,7.723,8.472,9.325,10.302,11.278
67.3,-0.3833,7.7448,0.0909,5.454,5.975,6.497,7.083,7.745,8.496,9.351,10.33,11.309
67.4,-0.3833,7.7661,0.09089,5.469,5.992,6.515,7.102,7.766,8.519,9.376,10.358,11.34
67.5,-0.3833,7.7874,0.09088,5.485,6.009,6.533,7.122,7.787,8.542,9.402,10.386,11.37
67.6,-0.3833,7.8086,0.09087,5.5,6.025,6.55,7.141,7.809,8.565,9.427,10.414,11.401
67.7,-0.3833,7.8298,0.09086,5.515,6.042,6.568,7.161,7.83,8.588,9.453,10.442,11.431
67.8,-0.3833,7.8509,0.09085,5.53,6.058,6.586,7.18,7.851,8.611,9.478,10.47,11.462
67.9,-0.3833,7.872,0.09084,5.545,6.075,6.604,7.2,7.872,8.635,9.503,10.498,11.492
68,-0.3833,7.893,0.09083,5.56,6.091,6.622,7.219,7.893,8.657,9.528,10.525,11.522
68.1,-0.3833,7.914,0.09082,5.575,6.107,6.64,7.238,7.914,8.68,9.553,10.553,11.552
68.2,-0.3833,7.935,0.0908,5.59,6.124,6.657,7.257,7.935,8.703,9.578,10.58,11.582
68.3,-0.3833,7.9559,0.09079,5.605,6.14,6.675,7.277,7.956,8.726,9.603,10.608,11.612
68.4,-0.3833,7.9768,0.09078,5.62,6.156,6.693,7.296,7.977,8.749,9.628,10.635,11.642
68.5,-0.3833,7.9976,0.09077,5.635,6.173,6.71,7.315,7.998,8.772,9.653,10.663,11.672
68.6,-0.3833,8.0184,0.09076,5.65,6.189,6.728,7.334,8.018,8.794,9.678,10.69,11.702
