Length,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
45,-0.3833,2.4607,0.09029,1.737,1.902,2.066,2.252,2.461,2.698,2.967,3.275,3.584
45.1,-0.3833,2.4777,0.0903,1.749,1.915,2.081,2.267,2.478,2.716,2.988,3.298,3.609
45.2,-0.3833,2.4947,0.0903,1.761,1.928,2.095,2.283,2.495,2.735,3.008,3.321,3.633
45.3,-0.3833,2.5117,0.09031,1.773,1.941,2.109,2.298,2.512,2.753,3.029,3.343,3.658
45.4,-0.3833,2.5287,0.09032,1.785,1.954,2.123,2.314,2.529,2.772,3.049,3.366,3.683
45.5,-0.3833,2.5457,0.09033,1.797,1.967,2.138,2.329,2.546,2.791,3.07,3.389,3.708
45.6,-0.3833,2.5627,0.09033,1.809,1.98,2.152,2.345,2.563,2.809,3.09,3.412,3.733
45.7,-0.3833,2.5797,0.09034,1.821,1.993,2.166,2.36,2.58,2.828,3.111,3.434,3.758
45.8,-0.3833,2.5967,0.09035,1.832,2.006,2.18,2.376,2.597,2.847,3.131,3.457,3.783
45.9,-0.3833,2.6137,0.09036,1.844,2.02,2.195,2.392,2.614,2.865,3.152,3.48,3.808
46,-0.3833,2.6306,0.09037,1.856,2.033,2.209,2.407,2.631,2.884,3.172,3.502,3.832
46.1,-0.3833,2.6476,0.09037,1.868,2.046,2.223,2.423,2.648,2.903,3.193,3.525,3.857
46.2,-0.3833,2.6646,0.09038,1.88,2.059,2.237,2.438,2.665,2.921,3.214,3.548,3.882
46.3,-0.3833,2.6816,0.09039,1.892,2.072,2.252,2.454,2.682,2.94,3.234,3.571,3.907
46.4,-0.3833,2.6986,0.0904,1.904,2.085,2.266,2.469,2.699,2.959,3.255,3.593,3.932
46.5,-0.3833,2.7155,0.0904,1.916,2.098,2.28,2.485,2.716,2.977,3.275,3.616,3.957
46.6,-0.3833,2.7326,0.09041,1.928,2.111,2.294,2.5,2.733,2.996,3.296,3.639,3.982
46.7,-0.3833,2.7496,0.09042,1.94,2.124,2.309,2.516,2.75,3.015,3.316,3.662,4.007
46.8,-0.3833,2.7666,0.09043,1.952,2.137,2.323,2.531,2.767,3.033,3.337,3.684,4.032
46.9,-0.3833,2.7837,0.09044,1.964,2.15,2.337,2.547,2.784,3.052,3.358,3.707,4.057
47,-0.3833,2.8007,0.09044,1.976,2.164,2.351,2.562,2.801,3.071,3.378,3.73,4.081
47.1,-0.3833,2.8179,0.09045,1.988,2.177,2.366,2.578,2.818,3.09,3.399,3.753,4.107
47.2,-0.3833,2.835,0.09046,2,2.19,2.38,2.594,2.835,3.108,3.42,3.776,4.132
47.3,-0.3833,2.8522,0.09047,2.012,2.203,2.394,2.609,2.852,3.127,3.44,3.799,4.157
47.4,-0.3833,2.8694,0.09047,2.024,2.216,2.409,2.625,2.869,3.146,3.461,3.822,4.182
47.5,-0.3833,2.8867,0.09048,2.036,2.23,2.423,2.641,2.887,3.165,3.482,3.845,4.208
47.6,-0.3833,2.9041,0.09049,2.048,2.243,2.438,2.657,2.904,3.184,3.503,3.868,4.233
47.7,-0.3833,2.9215,0.0905,2.061,2.256,2.452,2.673,2.922,3.203,3.524,3.891,4.259
47.8,-0.3833,2.939,0.0905,2.073,2.27,2.467,2.689,2.939,3.223,3.545,3.915,4.284
47.9,-0.3833,2.9565,0.09051,2.085,2.283,2.482,2.705,2.956,3.242,3.567,3.938,4.31
48,-0.3833,2.9741,0.09052,2.097,2.297,2.497,2.721,2.974,3.261,3.588,3.962,4.336
48.1,-0.3833,2.9918,0.09053,2.11,2.311,2.511,2.737,2.992,3.281,3.609,3.986,4.362
48.2,-0.3833,3.0096,0.09054,2.122,2.324,2.526,2.753,3.01,3.3,3.631,4.009,4.388
48.3,-0.3833,3.0275,0.09054,2.135,2.338,2.541,2.77,3.028,3.32,3.652,4.033,4.414
48.4,-0.3833,3.0455,0.09055,2.148,2.352,2.556,2.786,3.046,3.34,3.674,4.057,4.44
48.5,-0.3833,3.0636,0.09056,2.16,2.366,2.571,2.803,3.064,3.359,3.696,4.082,4.467
48.6,-0.3833,3.0818,0.09057,2.173,2.38,2.587,2.819,3.082,3.379,3.718,4.106,4.494
